created_at,indexed_at,text,author_handle,author_display_name,author_did,like_count,repost_count,reply_count,uri,cid,financial_score,top_topics,top_scores
2026-05-01T17:18:44.701Z,2026-05-01T17:18:45.275Z,intraday when the rsi has been consistently above 50 you have to see if the rsi will drop and stay below 50 otherwise a sell off becomes a buythedip opportunity as you see today rsi fell to 50 circled but it couldnt stay below so we bounced back up its all stupid,hoon.bsky.social,Hoon,did:plc:keibepgn3i4tqyjbdbwy43ue,0,0,0,at://did:plc:keibepgn3i4tqyjbdbwy43ue/app.bsky.feed.post/3mksn4yvbto2n,bafyreibdeqgolnwpyb5h5e6riprr5sncczh2m2znbayyef4nmx2jdsn5uu,0.6396601796150208,"['portfolio', 'equities']","[0.6396601796150208, 0.6360925436019897]"
2026-05-01T16:24:04.184Z,2026-05-01T16:24:05.271Z,create the dip buy the dip repeat thats what this administration is doing its all about insider trading and money always,drinkoftheday.bsky.social,Yacht Rock Captain,did:plc:wrmgippo7vl5ri3y2e5quaxd,2,0,1,at://did:plc:wrmgippo7vl5ri3y2e5quaxd/app.bsky.feed.post/3mksk3abzy22o,bafyreifid5ztw4dag2tun37n3kgx2a64k4u6b5ksnfxl7syh2m6tdrrnh4,0.6459455490112305,"['crypto', 'equities']","[0.6459455490112305, 0.627568244934082]"
2026-05-01T16:18:04.194012Z,2026-05-01T16:18:04.497Z,these datacenters are therefore becoming more powerhungry and more electrically complex than ever before mpwr solves those problems with highdensity power solutions this looks like a buyonthedip to me,beingexponential.bsky.social,Being Exponential | Luke Lango,did:plc:w7fdhsws3nohbisnhzppxsu5,0,0,0,at://did:plc:w7fdhsws3nohbisnhzppxsu5/app.bsky.feed.post/3mksjqj65ei27,bafyreiazafrfbfllx7zkdb3axsxpashljp3utwawjavz6lez6mfakb2kse,0.5547810792922974,"['portfolio', 'crypto']","[0.5547810792922974, 0.5479395985603333]"
2026-05-01T15:54:53.746Z,2026-05-01T15:54:53.875Z,anyway to the markets this is just another taco buy the dip opportunity were stuck in this perverted world,hoon.bsky.social,Hoon,did:plc:keibepgn3i4tqyjbdbwy43ue,3,0,1,at://did:plc:keibepgn3i4tqyjbdbwy43ue/app.bsky.feed.post/3mksih2yoef23,bafyreic2frbo63pnrnefjbwsbpk4swweko3z6mdzhlrmzpmqxdxk3pdil4,0.6674395799636841,"['crypto', 'forex']","[0.6674395799636841, 0.5987278819084167]"
2026-05-01T14:40:08.299Z,2026-05-01T14:40:08.474Z,is that the dip to buy,hoon.bsky.social,Hoon,did:plc:keibepgn3i4tqyjbdbwy43ue,0,0,0,at://did:plc:keibepgn3i4tqyjbdbwy43ue/app.bsky.feed.post/3mksebfdnug2l,bafyreiccmmfgwdhw7huq35o3zjta7anz5wngjbdzhh746m5atc5u6naeom,0.5759404897689819,"['equities', 'crypto']","[0.5759404897689819, 0.5715683698654175]"
2026-05-01T14:17:30.542510+00:00,2026-05-01T14:17:30.974Z,weak hands panic sell a 31 dip predators accumulate coingecko shows mega bleeding while the crowd screams in fear this crash is a status test separating amateurs from true pros my charts show massive buy walls hiding beneath this red candle this is exactly why my tradesignal crypto trading,a3eecosystem.bsky.social,,did:plc:6ypf3h3hkluvw7eulqvbydkc,0,0,0,at://did:plc:6ypf3h3hkluvw7eulqvbydkc/app.bsky.feed.post/3mkscywriuy2a,bafyreifqk3zaudmewv7btivajbfuya5rmclvlroecvt3ypxmu65vv5yh5y,0.6844295263290405,"['crypto', 'equities']","[0.6844295263290405, 0.6193689703941345]"
2026-05-01T14:16:05.244Z,2026-05-01T14:16:10.075Z,forget buy the dip now retail investors are trading the mania in chip stocks,jessefelder.com,Jesse Felder,did:plc:lzcoujf7r7lgjvx2yrmpvxlc,7,1,1,at://did:plc:lzcoujf7r7lgjvx2yrmpvxlc/app.bsky.feed.post/3mkscwf3jzc26,bafyreiag6in7jk3coob5pwh4dspwo5pwky5ajzizfiiqv3gcm4ub3tud2q,0.6485310792922974,"['equities', 'crypto']","[0.6485310792922974, 0.6406741142272949]"
2026-05-01T14:08:20.996Z,2026-05-01T14:08:22.974Z,oh look its time to buy the dip on oil futures,toohotintheair.bsky.social,The Weather Hater,did:plc:aru6dx7luhdvtfefc3ltyj5w,1,0,0,at://did:plc:aru6dx7luhdvtfefc3ltyj5w/app.bsky.feed.post/3mkscikdpvk2k,bafyreiachuq7topesus7v5c2smgx5owqpnemjjknzmo4jja2mrsaxen2v4,0.6536733508110046,"['derivatives', 'crypto']","[0.6536733508110046, 0.6385530233383179]"
2026-05-01T13:00:03+00:00,2026-05-01T13:00:08.472Z,is microsoft msft the best ai stock to buy on the dip after earnings when jeff bezos said that one breakthrough technology would shape amazon s destiny even wall street s biggest analysts were,eu-ai.bsky.social,,did:plc:pbgozw7x4quvswfripf4bgcz,0,0,0,at://did:plc:pbgozw7x4quvswfripf4bgcz/app.bsky.feed.post/3mks6olcjgj2h,bafyreia3p3m3ane4nrmwjv62bhichruovycxptcxlllqwhmfipgnmedyfm,0.6732272505760193,"['crypto', 'equities']","[0.6732272505760193, 0.649272084236145]"
2026-05-01T12:16:52.251175+00:00,2026-05-01T12:16:52.575Z,weak hands panic sell a 31 dip predators accumulate mega just bled thirtyone percent on coingecko retail is screaming exit whales are clicking buy the chart looks like death that is the signal stop guessing the bottom and let tradesignals data show you exactly where the s crypto trading,a3eecosystem.bsky.social,,did:plc:6ypf3h3hkluvw7eulqvbydkc,0,0,0,at://did:plc:6ypf3h3hkluvw7eulqvbydkc/app.bsky.feed.post/3mks4b7kmcp2h,bafyreih7lhqaa6c4x2ivic4x5x6gi3vuvkyyazzabracoglkzozbqtjwmm,0.7079064249992371,"['crypto', 'forex']","[0.7079064249992371, 0.6299806237220764]"
